customer_id,age,gender,item_purchased,category,purchase_amount,location,size,color,season,review_rating,subscription_status,shipping_type,discount_applied,promo_code_used,previous_purchases,payment_method,frequency_of_purchases,review_missing,used_promo,purchases_per_year,engagement_score,promo_dependency_score,promo_dependency_tier,lifetime_value_proxy,value_tier,satisfaction_tier,high_satisfaction,loyalty_score_a,loyalty_score_b,loyal_a_flag,loyal_b_flag
38,35,Male,Jeans,Clothing,45,Indiana,S,Cyan,Summer,2.8,Yes,Store Pickup,Yes,Yes,10,PayPal,Weekly,0,1,52,51.0,49.0,Moderate Dependency,450,Bronze,Dissatisfied,0,51.0,0.0,0,0
39,29,Male,Dress,Clothing,37,Florida,M,Red,Winter,3.8,Yes,2-Day Shipping,Yes,Yes,44,Venmo,Every 3 Months,1,1,4,55.0,45.0,Moderate Dependency,1628,Gold,Neutral,0,55.0,9.9,0,0
40,70,Male,Pants,Clothing,60,Arizona,S,Turquoise,Summer,4.2,Yes,Express,Yes,Yes,18,Credit Card,Monthly,0,1,12,29.4,70.6,High Dependency,1080,Silver,Satisfied,1,29.4,0.0,0,0
41,69,Male,Handbag,Accessories,76,Louisiana,L,Beige,Winter,4.6,Yes,Next Day Air,Yes,Yes,31,Debit Card,Quarterly,0,1,4,39.1,60.9,Moderate Dependency,2356,Platinum,Satisfied,1,39.1,16.6,0,0
42,67,Male,Scarf,Accessories,39,Alaska,M,Orange,Spring,4.5,Yes,Standard,Yes,Yes,40,Venmo,Annually,0,1,1,47.8,52.2,Moderate Dependency,1560,Gold,Satisfied,1,47.8,4.9,0,0
43,20,Male,Coat,Outerwear,100,Tennessee,M,Beige,Spring,4.1,Yes,Free Shipping,Yes,Yes,15,PayPal,Annually,0,1,1,17.1,82.9,High Dependency,1500,Gold,Satisfied,1,17.1,0.0,0,0
44,25,Male,Scarf,Accessories,69,Ohio,L,Lavender,Fall,3.7,Yes,Store Pickup,Yes,Yes,19,PayPal,Fortnightly,0,1,26,41.6,58.4,Moderate Dependency,1311,Gold,Neutral,0,41.6,0.0,0,0
45,39,Male,Hat,Accessories,53,Kentucky,S,Silver,Summer,4.6,Yes,Free Shipping,Yes,Yes,45,PayPal,Weekly,0,1,52,93.9,6.1,Low Dependency,2385,Platinum,Satisfied,1,93.9,44.9,1,1
46,50,Male,Socks,Clothing,21,Tennessee,XL,Indigo,Fall,2.9,Yes,2-Day Shipping,Yes,Yes,25,PayPal,Annually,0,1,1,29.4,70.6,High Dependency,525,Bronze,Dissatisfied,0,29.4,0.0,0,0
47,57,Male,Shirt,Clothing,43,California,L,White,Summer,2.9,Yes,Store Pickup,Yes,Yes,45,Cash,Quarterly,0,1,4,56.2,43.8,Moderate Dependency,1935,Gold,Dissatisfied,0,56.2,16.7,1,0
48,55,Male,Jewelry,Accessories,54,Montana,M,Charcoal,Winter,4.5,Yes,Free Shipping,Yes,Yes,36,Cash,Weekly,0,1,52,82.9,17.1,Low Dependency,1944,Gold,Satisfied,1,82.9,30.4,1,0
49,42,Male,Shirt,Clothing,55,Nevada,M,Orange,Summer,2.7,Yes,Store Pickup,Yes,Yes,38,Cash,Monthly,0,1,12,53.9,46.1,Moderate Dependency,2090,Gold,Dissatisfied,0,53.9,18.7,0,0
50,68,Male,Hoodie,Clothing,30,New Jersey,S,Indigo,Spring,4.6,Yes,Next Day Air,Yes,Yes,34,Debit Card,Bi-Weekly,0,1,26,60.0,40.0,Moderate Dependency,1020,Silver,Satisfied,1,60.0,0.1,1,0
51,49,Male,Blouse,Clothing,28,Maryland,M,Red,Spring,3.8,Yes,Store Pickup,Yes,Yes,39,Debit Card,Bi-Weekly,1,1,26,66.1,33.9,Moderate Dependency,1092,Silver,Neutral,0,66.1,4.6,1,0
52,59,Male,Skirt,Clothing,59,Vermont,XL,Gray,Winter,4.7,Yes,2-Day Shipping,Yes,Yes,7,Credit Card,Quarterly,0,1,4,9.7,90.3,High Dependency,413,Bronze,Satisfied,1,9.7,0.0,0,0
53,42,Male,T-shirt,Clothing,20,Alaska,M,Green,Summer,2.6,Yes,Free Shipping,Yes,Yes,26,Credit Card,Weekly,0,1,52,70.6,29.4,Low Dependency,520,Bronze,Dissatisfied,0,70.6,0.0,1,0
54,29,Male,Skirt,Clothing,24,Mississippi,S,Peach,Winter,3.9,Yes,Next Day Air,Yes,Yes,35,Credit Card,Weekly,0,1,52,81.6,18.4,Low Dependency,840,Silver,Neutral,0,81.6,7.3,1,0
55,47,Male,Coat,Outerwear,94,New Mexico,M,Brown,Summer,4.2,Yes,Next Day Air,Yes,Yes,35,Debit Card,Bi-Weekly,0,1,26,61.2,38.8,Moderate Dependency,3290,Platinum,Satisfied,1,61.2,46.7,1,1
56,40,Male,Jacket,Outerwear,28,South Carolina,M,Lavender,Winter,3.0,Yes,2-Day Shipping,Yes,Yes,49,Credit Card,Annually,0,1,1,58.8,41.2,Moderate Dependency,1372,Gold,Dissatisfied,0,58.8,6.6,1,0
57,41,Male,Backpack,Accessories,73,Mississippi,XL,Brown,Summer,4.7,Yes,Store Pickup,Yes,Yes,46,Credit Card,Weekly,0,1,52,95.1,4.9,Low Dependency,3358,Platinum,Satisfied,1,95.1,65.2,1,1
58,21,Male,Coat,Outerwear,64,West Virginia,M,White,Summer,4.4,Yes,Store Pickup,Yes,Yes,17,Debit Card,Fortnightly,0,1,26,39.2,60.8,Moderate Dependency,1088,Silver,Satisfied,1,39.2,0.0,0,0
59,69,Male,Hoodie,Clothing,54,Missouri,M,Charcoal,Summer,4.2,Yes,Free Shipping,Yes,Yes,29,Venmo,Monthly,0,1,12,42.9,57.1,Moderate Dependency,1566,Gold,Satisfied,1,42.9,2.5,0,0
60,63,Male,Belt,Accessories,79,Louisiana,L,Yellow,Spring,4.6,Yes,Standard,Yes,Yes,4,Debit Card,Weekly,0,1,52,43.7,56.3,Moderate Dependency,316,Bronze,Satisfied,1,43.7,0.0,0,0
61,50,Male,Sweater,Clothing,37,Idaho,L,Brown,Summer,4.0,Yes,Express,Yes,Yes,17,Cash,Weekly,0,1,52,59.6,40.4,Moderate Dependency,629,Silver,Neutral,0,59.6,0.0,1,0
62,55,Male,Scarf,Accessories,68,Texas,M,Orange,Winter,4.7,Yes,Store Pickup,Yes,Yes,21,Credit Card,Every 3 Months,0,1,4,26.8,73.2,High Dependency,1428,Gold,Satisfied,1,26.8,0.0,0,0
63,30,Male,Sneakers,Footwear,21,Mississippi,S,Magenta,Spring,3.8,Yes,Free Shipping,Yes,Yes,31,Credit Card,Fortnightly,0,1,26,56.3,43.7,Moderate Dependency,651,Silver,Neutral,0,56.3,0.0,1,0
64,33,Male,Sunglasses,Accessories,79,Arizona,L,Lavender,Winter,2.7,Yes,2-Day Shipping,Yes,Yes,43,Credit Card,Weekly,0,1,52,91.4,8.6,Low Dependency,3397,Platinum,Dissatisfied,0,91.4,64.1,1,1
65,65,Male,Boots,Footwear,83,Alabama,S,Green,Fall,4.8,Yes,Standard,Yes,Yes,18,Debit Card,Fortnightly,0,1,26,40.4,59.6,Moderate Dependency,1494,Gold,Satisfied,1,40.4,0.0,0,0
66,65,Male,Backpack,Accessories,36,New Jersey,M,Purple,Spring,4.8,Yes,2-Day Shipping,Yes,Yes,44,Venmo,Every 3 Months,0,1,4,55.0,45.0,Moderate Dependency,1584,Gold,Satisfied,1,55.0,9.0,0,0
67,31,Male,Blouse,Clothing,94,Pennsylvania,S,Magenta,Winter,4.7,Yes,2-Day Shipping,Yes,Yes,3,Venmo,Every 3 Months,0,1,4,4.8,95.2,High Dependency,282,Bronze,Satisfied,1,4.8,0.0,0,0
68,45,Male,Coat,Outerwear,33,Connecticut,L,Gray,Winter,4.4,Yes,Store Pickup,Yes,Yes,49,Debit Card,Monthly,0,1,12,67.4,32.6,Low Dependency,1617,Gold,Satisfied,1,67.4,15.9,1,0
69,57,Male,Handbag,Accessories,46,Utah,L,Silver,Summer,3.9,Yes,Next Day Air,Yes,Yes,21,Cash,Every 3 Months,0,1,4,26.8,73.2,High Dependency,966,Silver,Neutral,0,26.8,0.0,0,0
70,48,Male,Belt,Accessories,70,Tennessee,S,Cyan,Summer,4.4,Yes,Express,Yes,Yes,5,Cash,Weekly,0,1,52,44.9,55.1,Moderate Dependency,350,Bronze,Satisfied,1,44.9,0.0,0,0
71,22,Male,Belt,Accessories,29,Alabama,M,Magenta,Fall,4.2,Yes,Express,Yes,Yes,32,Debit Card,Every 3 Months,0,1,4,40.3,59.7,Moderate Dependency,928,Silver,Satisfied,1,40.3,0.0,0,0
72,36,Male,Dress,Clothing,48,Virginia,L,Gold,Summer,2.9,Yes,Express,Yes,Yes,34,Bank Transfer,Annually,0,1,1,40.4,59.6,Moderate Dependency,1632,Gold,Dissatisfied,0,40.4,2.6,0,0
73,18,Male,Dress,Clothing,26,Georgia,M,Olive,Winter,2.9,Yes,Store Pickup,Yes,Yes,21,Bank Transfer,Every 3 Months,0,1,4,26.8,73.2,High Dependency,546,Bronze,Dissatisfied,0,26.8,0.0,0,0
74,48,Male,Pants,Clothing,85,Hawaii,M,Teal,Spring,2.7,Yes,Free Shipping,Yes,Yes,43,Bank Transfer,Bi-Weekly,0,1,26,71.0,29.0,Low Dependency,3655,Platinum,Dissatisfied,0,71.0,59.1,1,1
75,49,Male,Gloves,Accessories,58,Indiana,L,Violet,Spring,4.5,Yes,Express,Yes,Yes,3,Cash,Monthly,0,1,12,11.1,88.9,High Dependency,174,Bronze,Satisfied,1,11.1,0.0,0,0
76,64,Male,Scarf,Accessories,85,Utah,M,Blue,Summer,2.7,Yes,Free Shipping,Yes,Yes,21,Credit Card,Annually,0,1,1,24.5,75.5,High Dependency,1785,Gold,Dissatisfied,0,24.5,0.0,0,0
77,50,Male,Hat,Accessories,43,Delaware,S,Teal,Summer,4.2,Yes,Free Shipping,Yes,Yes,32,Venmo,Monthly,0,1,12,46.6,53.4,Moderate Dependency,1376,Gold,Satisfied,1,46.6,0.5,0,0
78,22,Male,Dress,Clothing,53,Delaware,L,Gold,Summer,3.3,Yes,Next Day Air,Yes,Yes,36,Debit Card,Fortnightly,0,1,26,62.5,37.5,Moderate Dependency,1908,Gold,Neutral,0,62.5,19.3,1,0
79,50,Male,Skirt,Clothing,91,Nebraska,M,Maroon,Spring,4.7,Yes,Free Shipping,Yes,Yes,50,Venmo,Fortnightly,0,1,26,79.6,20.4,Low Dependency,4550,Platinum,Satisfied,1,79.6,81.6,1,1
80,38,Male,Jacket,Outerwear,96,Iowa,M,Olive,Winter,2.6,Yes,2-Day Shipping,Yes,Yes,43,Bank Transfer,Every 3 Months,0,1,4,53.8,46.2,Moderate Dependency,4128,Platinum,Dissatisfied,0,53.8,60.0,0,1
81,19,Male,Sandals,Footwear,72,New York,XL,Blue,Summer,3.8,Yes,Store Pickup,Yes,Yes,24,Credit Card,Every 3 Months,1,1,4,30.5,69.5,High Dependency,1728,Gold,Neutral,0,30.5,0.0,0,0
82,67,Male,Shoes,Footwear,96,Virginia,L,Maroon,Summer,2.6,Yes,Express,Yes,Yes,36,Credit Card,Every 3 Months,0,1,4,45.2,54.8,Moderate Dependency,3456,Platinum,Dissatisfied,0,45.2,42.0,0,1
83,19,Male,Pants,Clothing,28,Georgia,S,Olive,Spring,4.0,Yes,2-Day Shipping,Yes,Yes,21,Credit Card,Every 3 Months,0,1,4,26.8,73.2,High Dependency,588,Bronze,Neutral,0,26.8,0.0,0,0
84,36,Male,Dress,Clothing,40,Texas,M,Turquoise,Summer,4.1,Yes,Standard,Yes,Yes,34,Bank Transfer,Weekly,0,1,52,80.4,19.6,Low Dependency,1360,Gold,Satisfied,1,80.4,17.3,1,0
85,52,Male,Coat,Outerwear,32,Arizona,S,Peach,Spring,4.4,Yes,Standard,Yes,Yes,42,Bank Transfer,Every 3 Months,0,1,4,52.6,47.4,Moderate Dependency,1344,Gold,Satisfied,1,52.6,2.9,0,0
86,53,Male,Sunglasses,Accessories,95,New Mexico,M,Charcoal,Winter,4.5,Yes,Next Day Air,Yes,Yes,2,Debit Card,Bi-Weekly,0,1,26,20.8,79.2,High Dependency,190,Bronze,Satisfied,1,20.8,0.0,0,0
87,24,Male,Hoodie,Clothing,41,Nevada,L,Pink,Spring,3.7,Yes,2-Day Shipping,Yes,Yes,47,Cash,Bi-Weekly,0,1,26,75.9,24.1,Low Dependency,1927,Gold,Neutral,0,75.9,26.5,1,0
88,52,Male,Shoes,Footwear,53,Ohio,M,Green,Fall,3.7,Yes,2-Day Shipping,Yes,Yes,44,Debit Card,Fortnightly,0,1,26,72.3,27.7,Low Dependency,2332,Platinum,Neutral,0,72.3,32.9,1,1
89,33,Male,T-shirt,Clothing,47,Wyoming,M,Orange,Fall,3.5,Yes,Free Shipping,Yes,Yes,35,Credit Card,Monthly,0,1,12,50.3,49.7,Moderate Dependency,1645,Gold,Neutral,0,50.3,7.8,0,0
90,47,Male,Jacket,Outerwear,83,California,XL,Pink,Fall,3.6,Yes,Next Day Air,Yes,Yes,15,Cash,Quarterly,0,1,4,19.5,80.5,High Dependency,1245,Silver,Neutral,0,19.5,0.0,0,0
91,25,Male,Hat,Accessories,48,South Carolina,L,Violet,Summer,2.9,Yes,Express,Yes,Yes,29,Credit Card,Monthly,0,1,12,42.9,57.1,Moderate Dependency,1392,Gold,Dissatisfied,0,42.9,0.0,0,0
92,44,Male,Scarf,Accessories,99,South Carolina,S,Green,Winter,4.6,Yes,Standard,Yes,Yes,18,Credit Card,Every 3 Months,0,1,4,23.2,76.8,High Dependency,1782,Gold,Satisfied,1,23.2,0.0,0,0
93,61,Male,Jacket,Outerwear,87,Texas,M,Olive,Winter,4.4,Yes,2-Day Shipping,Yes,Yes,13,Venmo,Every 3 Months,0,1,4,17.0,83.0,High Dependency,1131,Silver,Satisfied,1,17.0,0.0,0,0
94,37,Male,Sweater,Clothing,62,Florida,M,Purple,Fall,4.5,Yes,Standard,Yes,Yes,46,Credit Card,Weekly,0,1,52,95.1,4.9,Low Dependency,2852,Platinum,Satisfied,1,95.1,55.0,1,1
95,58,Male,Skirt,Clothing,76,Nevada,S,Silver,Spring,4.6,Yes,Free Shipping,Yes,Yes,28,Credit Card,Weekly,0,1,52,73.1,26.9,Low Dependency,2128,Gold,Satisfied,1,73.1,29.2,1,0
96,37,Male,Sneakers,Footwear,100,Missouri,L,Pink,Fall,3.8,Yes,Free Shipping,Yes,Yes,48,PayPal,Monthly,0,1,12,66.2,33.8,Moderate Dependency,4800,Platinum,Neutral,0,66.2,79.9,1,1
97,32,Male,Gloves,Accessories,73,Delaware,S,Gold,Spring,3.8,Yes,Express,Yes,Yes,43,Venmo,Every 3 Months,1,1,4,53.8,46.2,Moderate Dependency,3139,Platinum,Neutral,0,53.8,39.9,0,1
98,21,Male,Shoes,Footwear,92,Virginia,M,Teal,Winter,4.8,Yes,Store Pickup,Yes,Yes,37,Cash,Annually,0,1,1,44.1,55.9,Moderate Dependency,3404,Platinum,Satisfied,1,44.1,40.4,0,1
99,20,Male,Jeans,Clothing,67,New York,XL,Teal,Spring,2.6,Yes,Next Day Air,Yes,Yes,20,Bank Transfer,Annually,0,1,1,23.3,76.7,High Dependency,1340,Gold,Dissatisfied,0,23.3,0.0,0,0
100,26,Male,Hoodie,Clothing,40,Missouri,XL,Indigo,Summer,3.7,Yes,Express,Yes,Yes,33,Debit Card,Quarterly,0,1,4,41.5,58.5,Moderate Dependency,1320,Gold,Neutral,0,41.5,0.0,0,0
101,62,Male,Sunglasses,Accessories,98,South Dakota,M,Maroon,Fall,2.7,Yes,Express,Yes,Yes,31,Cash,Fortnightly,0,1,26,56.3,43.7,Moderate Dependency,3038,Platinum,Dissatisfied,0,56.3,39.1,1,1
102,27,Male,Coat,Outerwear,85,North Dakota,XL,White,Spring,4.6,Yes,Express,Yes,Yes,50,Credit Card,Bi-Weekly,0,1,26,79.6,20.4,Low Dependency,4250,Platinum,Satisfied,1,79.6,75.5,1,1
103,51,Male,Socks,Clothing,67,Oklahoma,L,Violet,Winter,4.8,Yes,Next Day Air,Yes,Yes,35,Credit Card,Quarterly,0,1,4,44.0,56.0,Moderate Dependency,2345,Platinum,Satisfied,1,44.0,18.9,0,0
104,54,Male,Boots,Footwear,89,West Virginia,L,Red,Winter,4.0,Yes,Next Day Air,Yes,Yes,22,Venmo,Bi-Weekly,0,1,26,45.3,54.7,Moderate Dependency,1958,Gold,Neutral,0,45.3,11.7,0,0
105,55,Male,Sunglasses,Accessories,24,New Hampshire,L,Pink,Spring,4.4,Yes,2-Day Shipping,Yes,Yes,1,PayPal,Monthly,0,1,12,8.6,91.4,High Dependency,24,Bronze,Satisfied,1,8.6,0.0,0,0
106,69,Male,Backpack,Accessories,96,New York,M,Charcoal,Fall,3.6,Yes,Next Day Air,Yes,Yes,4,Bank Transfer,Annually,0,1,1,3.7,96.3,High Dependency,384,Bronze,Neutral,0,3.7,0.0,0,0
107,64,Male,Jacket,Outerwear,35,Minnesota,L,White,Summer,3.7,Yes,Standard,Yes,Yes,31,Credit Card,Monthly,0,1,12,45.4,54.6,Moderate Dependency,1085,Silver,Neutral,0,45.4,0.0,0,0
108,28,Male,Sneakers,Footwear,67,Maryland,L,Olive,Winter,3.1,Yes,Next Day Air,Yes,Yes,46,PayPal,Fortnightly,0,1,26,74.7,25.3,Low Dependency,3082,Platinum,Dissatisfied,0,74.7,49.3,1,1
109,70,Male,Socks,Clothing,79,Montana,L,Purple,Spring,3.4,Yes,Next Day Air,Yes,Yes,32,Bank Transfer,Bi-Weekly,0,1,26,57.6,42.4,Moderate Dependency,2528,Platinum,Neutral,0,57.6,29.4,1,0
110,58,Male,T-shirt,Clothing,85,Alabama,M,Violet,Spring,2.6,Yes,Next Day Air,Yes,Yes,43,Bank Transfer,Fortnightly,0,1,26,71.0,29.0,Low Dependency,3655,Platinum,Dissatisfied,0,71.0,59.1,1,1
111,56,Male,Backpack,Accessories,26,New York,M,Black,Summer,4.0,Yes,Standard,Yes,Yes,26,Venmo,Fortnightly,0,1,26,50.2,49.8,Moderate Dependency,676,Silver,Neutral,0,50.2,0.0,0,0
112,26,Male,Belt,Accessories,75,Massachusetts,L,Purple,Summer,5.0,Yes,Free Shipping,Yes,Yes,9,Credit Card,Annually,0,1,1,9.8,90.2,High Dependency,675,Silver,Satisfied,1,9.8,0.0,0,0
113,37,Male,Gloves,Accessories,65,Florida,M,Red,Spring,4.3,Yes,Free Shipping,Yes,Yes,28,PayPal,Bi-Weekly,0,1,26,52.7,47.3,Moderate Dependency,1820,Gold,Satisfied,1,52.7,12.6,0,0
